Date,Power Output (Watts)
18/03/2025 23:00:00,0
19/03/2025 00:00:00,0
19/03/2025 01:00:00,0
19/03/2025 02:00:00,0
19/03/2025 03:00:00,0
19/03/2025 04:00:00,10
19/03/2025 05:00:00,52
19/03/2025 06:00:00,485
19/03/2025 07:00:00,1457
19/03/2025 08:00:00,3245
19/03/2025 09:00:00,5021
19/03/2025 10:00:00,5717
19/03/2025 11:00:00,6062
19/03/2025 12:00:00,5870
19/03/2025 13:00:00,5310
19/03/2025 14:00:00,3603
19/03/2025 15:00:00,1857
19/03/2025 16:00:00,460
19/03/2025 17:00:00,97
19/03/2025 18:00:00,8
19/03/2025 19:00:00,8
19/03/2025 20:00:00,8
19/03/2025 21:00:00,8
19/03/2025 22:00:00,8
19/03/2025 23:00:00,8
20/03/2025 00:00:00,8
20/03/2025 01:00:00,8
20/03/2025 02:00:00,8
20/03/2025 03:00:00,8
20/03/2025 04:00:00,6
20/03/2025 05:00:00,94
20/03/2025 06:00:00,627
20/03/2025 07:00:00,1819
20/03/2025 08:00:00,3307
20/03/2025 09:00:00,5018
20/03/2025 10:00:00,5758
20/03/2025 11:00:00,6054
20/03/2025 12:00:00,5746
20/03/2025 13:00:00,3623
20/03/2025 14:00:00,2824
20/03/2025 15:00:00,913
20/03/2025 16:00:00,607
20/03/2025 17:00:00,128
20/03/2025 18:00:00,8
20/03/2025 19:00:00,8
20/03/2025 20:00:00,8
20/03/2025 21:00:00,0
20/03/2025 22:00:00,0
20/03/2025 23:00:00,0
21/03/2025 00:00:00,0
21/03/2025 01:00:00,0
21/03/2025 02:00:00,0
21/03/2025 03:00:00,0
21/03/2025 04:00:00,9
21/03/2025 05:00:00,73
21/03/2025 06:00:00,479
21/03/2025 07:00:00,2080
21/03/2025 08:00:00,3234
21/03/2025 09:00:00,4470
21/03/2025 10:00:00,5063
21/03/2025 11:00:00,5114
21/03/2025 12:00:00,5219
21/03/2025 13:00:00,4717
21/03/2025 14:00:00,2964
21/03/2025 15:00:00,1425
21/03/2025 16:00:00,677
21/03/2025 17:00:00,104
21/03/2025 18:00:00,5
21/03/2025 19:00:00,5
21/03/2025 20:00:00,5
21/03/2025 21:00:00,5
21/03/2025 22:00:00,0
21/03/2025 23:00:00,0
22/03/2025 00:00:00,0
