Date,Power Output (Watts)
22/03/2025 01:00:00,0
22/03/2025 02:00:00,0
22/03/2025 03:00:00,0
22/03/2025 04:00:00,7
22/03/2025 05:00:00,25
22/03/2025 06:00:00,258
22/03/2025 07:00:00,691
22/03/2025 08:00:00,2380
22/03/2025 09:00:00,2477
22/03/2025 10:00:00,2388
22/03/2025 11:00:00,3290
22/03/2025 12:00:00,3219
22/03/2025 13:00:00,3027
22/03/2025 14:00:00,2382
22/03/2025 15:00:00,961
22/03/2025 16:00:00,360
22/03/2025 17:00:00,42
22/03/2025 18:00:00,10
22/03/2025 19:00:00,10
22/03/2025 20:00:00,10
22/03/2025 21:00:00,10
22/03/2025 22:00:00,10
22/03/2025 23:00:00,10
23/03/2025 00:00:00,10
23/03/2025 01:00:00,10
23/03/2025 02:00:00,10
23/03/2025 03:00:00,10
23/03/2025 04:00:00,12
23/03/2025 05:00:00,57
23/03/2025 06:00:00,281
23/03/2025 07:00:00,203
23/03/2025 08:00:00,446
23/03/2025 09:00:00,1362
23/03/2025 10:00:00,2683
23/03/2025 11:00:00,3877
23/03/2025 12:00:00,2346
23/03/2025 13:00:00,2621
23/03/2025 14:00:00,1845
23/03/2025 15:00:00,1615
23/03/2025 16:00:00,768
23/03/2025 17:00:00,211
23/03/2025 18:00:00,15
23/03/2025 19:00:00,15
23/03/2025 20:00:00,15
23/03/2025 21:00:00,15
23/03/2025 22:00:00,15
23/03/2025 23:00:00,15
24/03/2025 00:00:00,0
24/03/2025 01:00:00,0
24/03/2025 02:00:00,0
24/03/2025 03:00:00,0
24/03/2025 04:00:00,11
24/03/2025 05:00:00,47
24/03/2025 06:00:00,250
24/03/2025 07:00:00,1050
24/03/2025 08:00:00,2328
24/03/2025 09:00:00,4713
24/03/2025 10:00:00,5484
24/03/2025 11:00:00,4134
24/03/2025 12:00:00,1951
24/03/2025 13:00:00,722
24/03/2025 14:00:00,579
24/03/2025 15:00:00,807
24/03/2025 16:00:00,659
24/03/2025 17:00:00,230
24/03/2025 18:00:00,23
24/03/2025 19:00:00,0
24/03/2025 20:00:00,0
24/03/2025 21:00:00,0
24/03/2025 22:00:00,0
24/03/2025 23:00:00,0
25/03/2025 00:00:00,0
25/03/2025 01:00:00,0
25/03/2025 02:00:00,0
25/03/2025 03:00:00,0
25/03/2025 04:00:00,10
25/03/2025 05:00:00,37
25/03/2025 06:00:00,283
25/03/2025 07:00:00,550
25/03/2025 08:00:00,2155
25/03/2025 09:00:00,2941
25/03/2025 10:00:00,5974
25/03/2025 11:00:00,6264
25/03/2025 12:00:00,4821
25/03/2025 13:00:00,4031
25/03/2025 14:00:00,3305
25/03/2025 15:00:00,2144
25/03/2025 16:00:00,835
25/03/2025 17:00:00,118
25/03/2025 18:00:00,17
25/03/2025 19:00:00,17
25/03/2025 20:00:00,0
25/03/2025 21:00:00,0
25/03/2025 22:00:00,0
25/03/2025 23:00:00,0
26/03/2025 00:00:00,0
26/03/2025 01:00:00,0
26/03/2025 02:00:00,0
26/03/2025 03:00:00,0
26/03/2025 04:00:00,15
26/03/2025 05:00:00,25
26/03/2025 06:00:00,150
26/03/2025 07:00:00,287
26/03/2025 08:00:00,571
26/03/2025 09:00:00,645
26/03/2025 10:00:00,994
26/03/2025 11:00:00,1185
26/03/2025 12:00:00,1561
26/03/2025 13:00:00,1414
26/03/2025 14:00:00,993
26/03/2025 15:00:00,745
26/03/2025 16:00:00,405
26/03/2025 17:00:00,129
26/03/2025 18:00:00,8
26/03/2025 19:00:00,8
26/03/2025 20:00:00,8
26/03/2025 21:00:00,8
26/03/2025 22:00:00,8
26/03/2025 23:00:00,8
27/03/2025 00:00:00,8
27/03/2025 01:00:00,8
27/03/2025 02:00:00,8
27/03/2025 03:00:00,8
27/03/2025 04:00:00,11
27/03/2025 05:00:00,130
27/03/2025 06:00:00,818
27/03/2025 07:00:00,1885
27/03/2025 08:00:00,3966
27/03/2025 09:00:00,5454
27/03/2025 10:00:00,6195
27/03/2025 11:00:00,6336
27/03/2025 12:00:00,6221
27/03/2025 13:00:00,5464
27/03/2025 14:00:00,4344
27/03/2025 15:00:00,1976
27/03/2025 16:00:00,642
27/03/2025 17:00:00,127
27/03/2025 18:00:00,9
27/03/2025 19:00:00,0
27/03/2025 20:00:00,0
27/03/2025 21:00:00,0
27/03/2025 22:00:00,0
27/03/2025 23:00:00,0
28/03/2025 00:00:00,0
28/03/2025 01:00:00,0
28/03/2025 02:00:00,0
28/03/2025 03:00:00,0
28/03/2025 04:00:00,15
28/03/2025 05:00:00,110
28/03/2025 06:00:00,700
28/03/2025 07:00:00,1878
28/03/2025 08:00:00,3640
28/03/2025 09:00:00,5308
28/03/2025 10:00:00,6176
28/03/2025 11:00:00,6277
28/03/2025 12:00:00,6193
28/03/2025 13:00:00,5793
28/03/2025 14:00:00,4071
28/03/2025 15:00:00,1978
28/03/2025 16:00:00,713
28/03/2025 17:00:00,173
28/03/2025 18:00:00,18
28/03/2025 19:00:00,18
28/03/2025 20:00:00,0
28/03/2025 21:00:00,0
28/03/2025 22:00:00,0
28/03/2025 23:00:00,0
29/03/2025 00:00:00,0
29/03/2025 01:00:00,0
29/03/2025 02:00:00,0
29/03/2025 03:00:00,0
29/03/2025 04:00:00,6
29/03/2025 05:00:00,112
29/03/2025 06:00:00,527
29/03/2025 07:00:00,1850
29/03/2025 08:00:00,3234
29/03/2025 09:00:00,5401
29/03/2025 10:00:00,4134
29/03/2025 11:00:00,4136
29/03/2025 12:00:00,4792
29/03/2025 13:00:00,4442
29/03/2025 14:00:00,3290
29/03/2025 15:00:00,1881
29/03/2025 16:00:00,774
29/03/2025 17:00:00,179
29/03/2025 18:00:00,18
